Index,Param1,Param2,Param3,obs1,obs2,obs3,obs4
290.93,2450.751789,2.6645,4325.367543,-0.002488822,-0.002708842,-0.003375806,-0.004597658
291.08,2453.513644,2.6445,4379.562044,0.002458595,0.00313882,0.005416635,0.010538373
291.24,2449.373192,2.6383,4392.120697,0.000258107,0.000601864,0.001635178,0.003493689
291.39,2451.343092,2.6384,4396.555455,0.00052355,0.000491221,0.000435952,0.000517057
291.54,2466.81774,2.6432,4365.261228,-0.002662853,-0.003518679,-0.006087439,-0.01067853
291.69,2483.905142,2.6424,4450.609623,0.00952988,0.009659963,0.010677523,0.015266458
291.85,2498.360656,2.642,4455.293585,0.000450245,8.74E-06,-0.00116385,-0.002605289
292,2535.77371,2.6448,4517.76424,0.007491619,0.006693333,0.004977204,0.004872327
292.15,2535.77371,2.6557,4517.76424,0.00205641,0.001882854,0.001408661,0.000760796
292.3,2530.720691,2.6644,4448.920611,-0.006042481,-0.006554562,-0.008437583,-0.013266117
292.46,2469.415863,2.67,4400.046195,-0.004473414,-0.002854168,0.001202538,0.005044536
292.61,2418.663704,2.6812,4373.780278,-0.000900684,0.000444501,0.003916242,0.007714978
292.76,2377.535101,2.6851,4342.437065,-0.002869215,-0.001791074,0.000916455,0.003505509
292.91,2342.813221,2.6943,4309.771927,-0.002065138,-0.001298095,0.000550301,0.001920101
293.07,2317.165881,2.691,4272.797365,-0.004920866,-0.004311778,-0.002926443,-0.002338181
293.22,2293.971551,2.6954,4227.755045,-0.004481899,-0.004133509,-0.003521665,-0.004275325
293.37,2289.491474,2.6893,4244.534187,0.000847636,0.001233889,0.002419767,0.004660421
293.52,2329.206786,2.6744,4240.813657,-0.003216394,-0.004383387,-0.007606604,-0.012166914
293.67,2323.524928,2.658,4266.995184,1.81432E-06,0.000670114,0.002699868,0.006444015
293.83,2379.20537,2.6495,4265.97993,-0.001720487,-0.003504779,-0.008400237,-0.015168955
293.98,2405.30303,2.6565,4303.62589,0.005712191,0.005006875,0.00337005,0.002523812
294.13,2428.298279,2.667,4332.129964,0.005273056,0.004546909,0.002779724,0.001401534
294.28,2436.450839,2.6725,4341.447434,0.002104293,0.001812305,0.001084845,0.000424801
294.44,2456.479691,2.6606,4353.228502,-0.000876375,-0.001284164,-0.002310677,-0.003295488
294.59,2469.215813,2.6418,4340.272833,-0.005035808,-0.005282277,-0.006052967,-0.007564372
294.74,2494.67998,2.6221,4325.551692,-0.005441196,-0.006132339,-0.008133231,-0.01139503
294.89,2494.67998,2.6164,4325.551692,-0.001088098,-0.000991107,-0.000726131,-0.000364197
295.05,2523.178808,2.6242,4249.20885,-0.007414923,-0.009191772,-0.014607661,-0.024612039
295.2,2525.060061,2.6357,4267.891398,0.004379866,0.004261197,0.004081854,0.004525548
295.35,2443.678345,2.6414,4316.913577,0.00679044,0.01013102,0.019607657,0.034269321
295.5,2443.678345,2.6408,4316.913577,-0.000113589,-0.000103836,-7.72E-05,-4.08E-05
295.66,2376.608187,2.6438,4314.713626,0.000312816,0.002604304,0.008828042,0.017181819
295.81,2363.523573,2.633,4326.411265,-0.00069298,1.86E-05,0.002050956,0.005246978
295.96,2342.633157,2.6147,4305.267172,-0.005936784,-0.005125658,-0.003070107,-0.00101477
296.11,2332.593556,2.5925,4306.66629,-0.004100868,-0.003410736,-0.001515353,0.001121808
296.27,2397.168698,2.5944,4335.7658,0.003733354,0.001773332,-0.003375528,-0.009404018
296.42,2521.926196,2.6013,4391.804271,0.007748811,0.003853281,-0.006424877,-0.018628047
296.57,2558.764271,2.622,4458.682582,0.011519123,0.010431543,0.007965723,0.007036813
296.72,2566.736842,2.6391,4458.878259,0.003272214,0.002712292,0.001183517,-0.00089959
296.88,2557.905337,2.6502,4498.760184,0.006550796,0.006992693,0.008497105,0.011971227
297.03,2544.877682,2.6519,4501.683701,0.000645447,0.001082267,0.002296262,0.004052928
297.18,2534.29783,2.6505,4426.050969,-0.008735672,-0.008954309,-0.010084053,-0.014105202
297.33,2521.508934,2.6555,4483.605713,0.007402101,0.008232911,0.010937752,0.016719342
297.48,2447.013487,2.6561,4492.328553,0.001084763,0.003650799,0.010702149,0.020557742
297.64,2403.595931,2.6562,4484.859186,-0.000813214,0.000536684,0.004163184,0.008836243
297.79,2398.111723,2.6627,4535.444319,0.00682993,0.007318969,0.00903166,0.013173989
297.94,2382.180539,2.669,4498.693785,-0.002886364,-0.002766761,-0.002701708,-0.003840338
298.09,2333.307816,2.6774,4321.749117,-0.018490178,-0.018446671,-0.01952925,-0.026477022
298.25,2322.462664,2.6847,4263.115935,-0.005468475,-0.005695025,-0.006746627,-0.01020296
298.4,2310.841547,2.688,4206.923204,-0.006020102,-0.006140612,-0.006890636,-0.009880136
298.55,2303.68075,2.6886,4167.236335,-0.004627614,-0.004722917,-0.00528643,-0.007477111
298.7,2336.169234,2.6857,4190.381919,0.002229798,0.001319609,-0.000988409,-0.003284787
298.86,2408.914882,2.6774,4269.744768,0.007833312,0.006058277,0.001826054,-0.000944587
299.01,2557.905337,2.6632,4598.464161,0.034411683,0.032255844,0.029175034,0.039646594
299.16,2702.606845,2.6605,4930.363469,0.034324515,0.032379407,0.02968802,0.039613451
299.31,2814.404432,2.6756,5148.039928,0.024426597,0.022496577,0.018749836,0.021271219
299.47,2892.663946,2.7062,5396.791671,0.029271825,0.02837413,0.027632872,0.035186527
299.62,2944.358578,2.7311,5593.584262,0.022483537,0.022092146,0.022292621,0.028824893
299.77,2904.240114,2.7323,5609.953618,0.001680731,0.002781208,0.005880142,0.010556916
299.92,2921.499089,2.7285,5597.693339,-0.001789788,-0.002244943,-0.00356025,-0.005695168
300.08,2924.863257,2.7187,5575.779749,-0.003760292,-0.003853241,-0.004234247,-0.005353615
300.23,2926.267281,2.733,5503.791983,-0.003874373,-0.004563184,-0.006856916,-0.011914507
300.38,2995.577396,2.7431,5492.58465,0.000825196,-0.001180689,-0.006739409,-0.014687018
300.53,3030.724868,2.7559,5618.847473,0.01369066,0.013406454,0.013411584,0.017211745
300.69,3034.949716,2.7584,5597.796143,-0.001423429,-0.001701642,-0.002583396,-0.004361381
300.84,2978.01661,2.7436,5412.412324,-0.019526495,-0.019002419,-0.018595436,-0.022728467
300.99,2882.269504,2.7249,5188.968335,-0.024494696,-0.023052728,-0.020385877,-0.022506674
301.14,2817.005545,2.7079,4997.54058,-0.021920135,-0.02108363,-0.019935685,-0.02354986
301.29,2725.321888,2.6998,4771.521157,-0.024633257,-0.023311795,-0.021085418,-0.024291677
301.45,2705.965909,2.6783,4643.934546,-0.017547507,-0.017521643,-0.018283501,-0.02316145
301.6,2713.192095,2.6559,4598.672299,-0.009096261,-0.009304961,-0.010188064,-0.012860875
301.75,2647.671994,2.6495,4705.664397,0.010292989,0.013506389,0.023059882,0.039886895
301.9,2708.370357,2.657,4739.91136,0.00503905,0.003238937,-0.001452101,-0.006759665
302.06,2780.514505,2.6613,4742.41882,0.001072964,-0.001305582,-0.007806372,-0.016673459
302.21,2815.444301,2.6543,4941.554125,0.019247032,0.019755204,0.022625939,0.033890161
302.36,2838.517415,2.6499,5120.623614,0.016967015,0.0176542,0.020799085,0.031329266
302.51,2835.348837,2.6576,5171.448447,0.006388982,0.006719767,0.007954121,0.01122068
302.67,2854.467129,2.6804,5341.183892,0.02041571,0.020729125,0.022725942,0.031042657
302.82,2893.762461,2.6976,5459.430414,0.014145849,0.013652706,0.013055706,0.015880102
302.97,2926.548248,2.7041,5553.328718,0.009729545,0.009409629,0.009113753,0.011498405
303.12,2922.339406,2.7041,5477.482658,-0.006875837,-0.007255267,-0.008726945,-0.012768556
303.28,2898.71612,2.7143,5426.287586,-0.002812722,-0.002673482,-0.002594533,-0.0038986
303.43,2846.469929,2.7259,5212.12743,-0.017999331,-0.018168683,-0.019834786,-0.027590163
303.58,2686.409307,2.7293,4896.857528,-0.030564433,-0.028209408,-0.023607118,-0.02544625
303.73,2628.492584,2.7198,4709.590692,-0.021236554,-0.020698719,-0.020402885,-0.025342272
303.89,2520.257979,2.6997,4570.880134,-0.018654295,-0.015941351,-0.00948278,-0.004992283
304.04,2440.547682,2.6721,4311.234954,-0.03436514,-0.033338562,-0.032225511,-0.038275303
304.19,2384.976526,2.6464,4179.120849,-0.020391147,-0.019098509,-0.016526837,-0.017407047
304.34,2402.45921,2.6326,4159.6157,-0.004953202,-0.005531779,-0.007264972,-0.010349408
304.5,2359.498374,2.6241,4133.273667,-0.00479342,-0.003275273,0.000658316,0.005037258
304.65,2298.469195,2.6165,4048.615262,-0.011797088,-0.010135507,-0.006258416,-0.004012553
304.8,2166.465278,2.6019,4016.86874,-0.006733815,-0.001802923,0.011325709,0.027768866
304.95,2166.465278,2.5904,4016.86874,-0.002214818,-0.002042161,-0.001570488,-0.000926295
305.1,2200.086618,2.5933,3986.293845,-0.003260913,-0.004785652,-0.009201883,-0.016404127
305.26,2180.101566,2.6076,3975.583033,0.001404267,0.001825001,0.002885267,0.003914729
305.41,2238.378497,2.6267,4077.264701,0.016275054,0.014760748,0.011482865,0.011208286
305.56,2369.218811,2.6271,4105.492848,0.003525845,-0.000941173,-0.012998017,-0.028661171
305.71,2426.365228,2.617,4182.619077,0.007379804,0.0060829,0.003159746,0.002179001
305.87,2408.914882,2.6034,4243.765925,0.004651517,0.006064589,0.010414611,0.018710083
306.02,2422.700898,2.5992,4237.099644,-0.001593325,-0.00207398,-0.00343918,-0.005548895
306.17,2442.307692,2.5997,4240.459661,0.000492517,-0.000196107,-0.002053326,-0.004473724
306.32,2444.070243,2.6001,4224.766446,-0.001776919,-0.001980471,-0.002656739,-0.004146992
306.48,2459.056071,2.6031,4303.322086,0.009787917,0.009861159,0.010689907,0.014855832
306.63,2567.385445,2.6131,4354.907844,0.007875017,0.004296013,-0.005136723,-0.01629753
